Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2024-06-07;0.0;0.0;0.0;11.939085676;11.939085676;11.939085676;11.939085676;11.939085676
2024-06-10;258.0;67500.0;911624.0;13.451953268;13.970486678;12.584406986;14.159950809;13.461925065
2024-06-11;492.0;114700.0;1620950.0;14.449132903;13.451953268;13.292404527;14.558822663;14.090148235
2024-06-12;283.0;48000.0;731329.0;15.46625613;14.459104699;14.459104699;15.635776668;15.187045832
2024-06-13;282.0;65200.0;1030087.0;15.954874151;15.097299665;15.097299665;16.004733133;15.745466428
2024-06-14;570.0;105000.0;1669841.0;15.845184391;16.004733133;15.506143315;16.174253671;15.855156188
2024-06-17;664.0;175800.0;2803763.0;16.353746005;16.104451097;15.107271462;16.353746005;15.905015169
2024-06-18;311.0;73900.0;1199748.0;16.074535708;16.144338282;16.074535708;16.453463969;16.184225467
2024-06-19;376.0;94800.0;1518690.0;15.705579242;16.164281875;15.665692057;16.254028042;15.964845947
2024-06-20;373.0;64900.0;990771.0;14.120063624;15.546030501;14.120063624;16.034648522;15.177074036
2024-06-21;222.0;28000.0;397444.0;14.030317456;14.000402067;13.970486678;14.409245718;14.149979013
2024-06-24;310.0;95300.0;1339179.0;13.960514882;13.800966141;13.591558417;14.399273921;14.010373864
2024-06-25;406.0;79200.0;1098436.0;13.641417399;13.960514882;13.631445603;14.369358532;13.820909733
2024-06-26;344.0;79100.0;1076016.0;13.262489138;13.920627697;13.262489138;14.02034566;13.561643028
2024-06-27;543.0;121600.0;1614108.0;13.142827582;13.621473806;12.674153154;13.661360992;13.232573749
2024-06-28;419.0;86000.0;1119734.0;12.694096746;12.953363451;12.664181357;13.571614825;12.98327884
2024-07-01;453.0;65700.0;852928.0;13.0929686;12.753927524;12.68412495;13.242545545;12.943391655
2024-07-02;562.0;89800.0;1223284.0;13.701248177;12.953363451;12.933419859;13.83088153;13.581586621
