Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-11-03;1.0;1000.0;503.0;0.25449016489;0.25449016489;0.25449016489;0.25449016489;0.25449016489
2004-11-04;5.0;9000.0;4748.0;0.30356679708;0.25853772218;0.25803177752;0.30356679708;0.26713878143
2004-11-05;1.0;1000.0;650.0;0.32886403017;0.32886403017;0.32886403017;0.32886403017;0.32886403017
2004-11-09;2.0;2000.0;1200.0;0.30356679708;0.30356679708;0.30356679708;0.30356679708;0.30356679708
2004-11-10;1.0;4000.0;2400.0;0.30356679708;0.30356679708;0.30356679708;0.30356679708;0.30356679708
2004-12-28;1.0;1000.0;850.0;0.43005296253;0.43005296253;0.43005296253;0.43005296253;0.43005296253
2005-03-15;4.0;1030000.0;2162962.0;1.0624837898;1.0619778451;1.0619778451;1.0624837898;1.0624837898
2005-03-18;1.0;1000.0;2100.0;1.0624837898;1.0624837898;1.0624837898;1.0624837898;1.0624837898
2005-03-30;1.0;1000.0;1011.0;0.51151005308;0.51151005308;0.51151005308;0.51151005308;0.51151005308
2006-09-27;1.0;1000.0;2100.0;1.0624837898;1.0624837898;1.0624837898;1.0624837898;1.0624837898
2006-10-05;1.0;1000.0;2100.0;1.0624837898;1.0624837898;1.0624837898;1.0624837898;1.0624837898
2007-06-13;1.0;200.0;2000.0;5.0937723785;5.0937723785;5.0937723785;5.0937723785;5.0937723785
2007-06-15;4.0;400.0;5996.0;7.6406585677;7.6355647954;7.6253772506;7.6406585677;7.6355647954
2007-07-03;1.0;100.0;1001.0;5.0988661509;5.0988661509;5.0988661509;5.0988661509;5.0988661509
2007-07-06;1.0;100.0;1450.0;7.3859699488;7.3859699488;7.3859699488;7.3859699488;7.3859699488
2007-07-10;7.0;1000.0;19490.0;10.187544757;7.589720844;7.589720844;10.187544757;9.9277623657
2007-07-13;2.0;300.0;5970.0;10.136607033;10.136607033;10.136607033;10.136607033;10.136607033
2007-07-27;11.0;1700.0;21583.0;6.8714989386;6.1838396675;6.1838396675;6.876592711;6.4690909207
2007-08-01;1.0;100.0;1349.0;6.8714989386;6.8714989386;6.8714989386;6.8714989386;6.8714989386
2007-08-13;1.0;100.0;1055.0;5.3739298593;5.3739298593;5.3739298593;5.3739298593;5.3739298593
2007-08-21;1.0;400.0;4016.0;5.114147468;5.114147468;5.114147468;5.114147468;5.114147468
2007-08-22;1.0;100.0;1010.0;5.1447101023;5.1447101023;5.1447101023;5.1447101023;5.1447101023
2007-09-11;1.0;100.0;1001.0;5.0988661509;5.0988661509;5.0988661509;5.0988661509;5.0988661509
2007-10-03;3.0;300.0;3003.0;5.0988661509;5.0988661509;5.0988661509;5.0988661509;5.0988661509
2007-12-21;1.0;100.0;1050.0;5.3484609974;5.3484609974;5.3484609974;5.3484609974;5.3484609974
2007-12-27;1.0;100.0;1203.0;6.1278081713;6.1278081713;6.1278081713;6.1278081713;6.1278081713
2007-12-28;6.0;700.0;13930.0;10.136607033;10.136607033;10.136607033;10.136607033;10.136607033
2008-01-09;4.0;500.0;10490.0;12.734430946;10.187544757;10.162075895;12.734430946;10.68673445
2008-01-17;1.0;300.0;7482.0;12.703868312;12.703868312;12.703868312;12.703868312;12.703868312
2008-01-30;1.0;100.0;2000.0;10.187544757;10.187544757;10.187544757;10.187544757;10.187544757
2008-02-25;17.0;5900.0;123520.0;11.460987851;8.7154445396;8.7154445396;11.460987851;10.66635936
2008-02-26;11.0;5400.0;122940.0;10.696921994;11.60870725;10.696921994;12.474648554;11.598519705
2008-02-27;4.0;1100.0;20812.0;9.6272297954;9.6832612915;9.6272297954;9.6832612915;9.6374173401
2008-02-28;2.0;2000.0;40300.0;10.340357928;10.187544757;10.187544757;10.340357928;10.263951342
2008-02-29;16.0;3500.0;68809.0;10.187544757;10.442233375;9.474416624;10.442233375;10.014356496
2008-03-05;29.0;27000.0;577815.0;11.206299232;10.391295652;10.187544757;11.206299232;10.90067289
2008-03-07;18.0;13700.0;313180.0;11.695301381;10.696921994;10.696921994;12.225053708;11.644363657
2008-03-11;7.0;4800.0;110225.0;11.71567647;11.71567647;11.460987851;11.71567647;11.695301381
2008-03-12;14.0;13000.0;296484.0;11.460987851;11.705488925;10.951610613;11.71567647;11.618894795
2008-03-14;3.0;300.0;5830.0;10.085669309;9.7800429667;9.7800429667;10.085669309;9.8971997314
2008-03-17;2.0;300.0;5800.0;10.187544757;9.6781675191;9.6781675191;10.187544757;9.8462620076
2008-03-19;1.0;100.0;2000.0;10.187544757;10.187544757;10.187544757;10.187544757;10.187544757
2008-03-20;12.0;3100.0;58927.0;10.080575537;9.6781675191;9.3165096803;10.187544757;9.6832612915
2008-03-25;29.0;12400.0;244014.0;9.6781675191;10.696921994;9.3216034526;11.206299232;10.02454404
2008-03-26;4.0;500.0;9545.0;9.6781675191;9.6526986573;9.6526986573;9.9837938619;9.7240114705
2008-03-27;4.0;8300.0;157620.0;9.6730737468;9.6781675191;9.6730737468;9.6781675191;9.6730737468
2008-03-28;15.0;11000.0;210440.0;9.7800429667;9.4234789002;9.1687902813;9.9073872762;9.7443865601
2008-03-31;5.0;2000.0;39030.0;10.437139603;9.6781675191;9.6781675191;10.437139603;9.9430436828
2008-04-01;11.0;6300.0;120679.0;9.6730737468;10.411670741;9.1687902813;10.411670741;9.7596678772
2008-04-02;8.0;8800.0;156200.0;8.9141016624;9.6781675191;8.9141016624;9.6781675191;9.0414459718
2008-04-03;2.0;3300.0;57600.0;8.6594130434;8.9141016624;8.6594130434;8.9141016624;8.8886328005
2008-04-04;8.0;8300.0;144850.0;8.6594130434;8.8122262148;8.4047244245;9.4234789002;8.8886328005
2008-04-07;20.0;6100.0;115996.0;10.13151326;9.1687902813;9.1687902813;10.13151326;9.6883550639
2008-04-09;10.0;9300.0;180424.0;10.442233375;9.6781675191;9.6730737468;10.442233375;9.8819184143
2008-04-10;11.0;11100.0;220677.0;10.187544757;9.4234789002;9.4234789002;10.187544757;10.126419488
2008-04-11;1.0;200.0;4000.0;10.187544757;10.187544757;10.187544757;10.187544757;10.187544757
2008-04-14;1.0;100.0;1899.0;9.6730737468;9.6730737468;9.6730737468;9.6730737468;9.6730737468
2008-04-15;9.0;3700.0;74199.0;10.442233375;10.182450984;9.9328561381;10.442233375;10.213013618
2008-04-16;7.0;2300.0;47833.0;10.946516841;10.187544757;10.187544757;10.946516841;10.595046547
2008-04-17;9.0;4700.0;99959.0;11.150267736;10.849735166;10.696921994;11.150267736;10.834453849
2008-04-18;3.0;6300.0;135449.0;10.951610613;10.946516841;10.946516841;10.951610613;10.951610613
2008-04-22;1.0;1000.0;21900.0;11.155361508;11.155361508;11.155361508;11.155361508;11.155361508
2008-04-23;10.0;5300.0;112260.0;10.849735166;11.104423785;10.187544757;11.104423785;10.788609897
2008-04-24;17.0;8600.0;180739.0;11.206299232;11.078954923;10.187544757;11.206299232;10.707109539
2008-04-28;11.0;14000.0;299580.0;10.798797442;10.90067289;10.696921994;10.951610613;10.90067289
2008-04-30;4.0;4700.0;100040.0;11.011857402;10.796541754;10.796541754;11.011857402;10.914452704
2008-05-05;5.0;3500.0;78690.0;11.791094983;11.227173049;11.227173049;11.791094983;11.524513705
2008-05-06;5.0;6000.0;132987.0;11.78596842;11.27843868;11.27843868;11.78596842;11.360463688
2008-05-08;1.0;100.0;2300.0;11.791094983;11.791094983;11.791094983;11.791094983;11.791094983
2008-05-09;12.0;12900.0;295415.0;11.78596842;11.688563723;11.688563723;11.78596842;11.739829353
2008-05-15;8.0;5100.0;115745.0;11.791094983;10.765782376;10.765782376;11.791094983;11.637298092
2008-05-16;2.0;300.0;6605.0;11.304071495;11.27843868;11.27843868;11.304071495;11.288691806
2008-05-20;1.0;1000.0;22050.0;11.304071495;11.304071495;11.304071495;11.304071495;11.304071495
2008-05-23;5.0;3300.0;70892.0;11.022110528;10.258252635;10.258252635;11.257932428;11.011857402
2008-05-26;1.0;1000.0;22000.0;11.27843868;11.27843868;11.27843868;11.27843868;11.27843868
2008-05-29;22.0;19700.0;459777.0;11.791094983;11.791094983;11.175907419;12.303751287;11.965398127
2008-05-30;1.0;1000.0;22890.0;11.73470279;11.73470279;11.73470279;11.73470279;11.73470279
2008-06-02;11.0;11200.0;271825.0;11.27843868;12.226852841;11.27843868;12.816407591;12.442168489
2008-06-03;9.0;20900.0;449549.0;11.770588731;11.791094983;10.258252635;11.791094983;11.027237091
2008-06-04;1.0;100.0;2250.0;11.534766831;11.534766831;11.534766831;11.534766831;11.534766831
2008-06-05;1.0;100.0;2250.0;11.534766831;11.534766831;11.534766831;11.534766831;11.534766831
2008-06-06;8.0;4000.0;97175.0;12.816407591;12.303751287;12.303751287;12.816407591;12.452421615
2008-06-09;2.0;2000.0;49900.0;12.790774775;12.790774775;12.790774775;12.790774775;12.790774775
2008-06-11;2.0;1200.0;31050.0;13.323937331;12.970204482;12.970204482;13.323937331;13.267545138
2008-06-12;10.0;17400.0;452226.0;13.323937331;13.323937331;13.323937331;13.323937331;13.323937331
2008-06-13;4.0;6300.0;166635.0;13.559759231;13.559759231;13.559759231;13.559759231;13.559759231
2008-06-16;3.0;2200.0;57650.0;13.329063894;13.559759231;13.329063894;13.559759231;13.431595155
2008-06-17;1.0;1000.0;26450.0;13.559759231;13.559759231;13.559759231;13.559759231;13.559759231
2008-06-18;1.0;100.0;2600.0;13.329063894;13.329063894;13.329063894;13.329063894;13.329063894
2008-06-19;4.0;2500.0;63560.0;13.329063894;12.816407591;12.816407591;13.329063894;13.031723238
2008-06-26;3.0;300.0;7550.0;13.329063894;12.303751287;12.303751287;13.329063894;12.903559162
