Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-07-23;0.0;0.0;0.0;21.274281136;21.274281136;21.274281136;21.274281136;21.274281136
2021-07-26;2176.0;1914400.0;42347360.0;20.256416823;21.677758882;19.541160819;21.787798267;20.283926669
2021-07-27;3548.0;1469000.0;32146134.0;20.173887284;21.081712212;19.256892408;21.081712212;20.063847899
2021-07-28;4363.0;2238100.0;51573232.0;20.999182673;20.815783698;20.788273852;22.548904015;21.127561956
2021-07-29;2703.0;818100.0;19571009.0;21.98953714;22.145426269;21.622739189;22.741472939;21.934517447
2021-07-30;2451.0;1125500.0;27409852.0;22.374674988;22.017046986;21.274281136;22.906532016;22.328825244
2021-08-02;1934.0;756300.0;19013624.0;22.915701965;22.796492631;22.741472939;23.346689557;23.053251197
2021-08-03;1311.0;436800.0;10896805.0;22.73230299;23.135780736;22.484714373;24.162814997;22.869852221
2021-08-04;1685.0;587900.0;14386719.0;22.548904015;23.108270889;21.91617755;23.108270889;22.438864629
2021-08-05;1316.0;258700.0;6329382.0;22.420524732;22.292145449;21.952857345;22.95238176;22.429694681
2021-08-06;1093.0;399200.0;9463244.0;21.595229343;22.466374476;21.430170265;22.73230299;21.732778574
2021-08-09;1094.0;625200.0;14393391.0;20.953332929;21.732778574;20.568195081;21.732778574;21.109222058
2021-08-10;1035.0;285000.0;6509368.0;21.485189958;21.164241751;20.586534979;21.686928831;20.944162981
2021-08-11;754.0;376600.0;8612693.0;21.274281136;21.622739189;20.623214774;21.622739189;20.962502878
2021-08-12;563.0;562700.0;13069780.0;21.274281136;21.274281136;20.953332929;21.622739189;21.292621034
2021-08-13;694.0;389800.0;9070807.0;21.448510163;21.365980624;21.090882161;21.815308113;21.338470778
2021-08-16;2260.0;935800.0;20523694.0;19.715389846;21.659418984;19.504481024;21.659418984;20.109697643
2021-08-17;2667.0;1162800.0;23177822.0;19.247722459;19.715389846;17.487092296;19.715389846;18.27570789
2021-08-18;1754.0;481400.0;10095915.0;19.486141127;19.247722459;18.486616711;19.90795877;19.229382561
2021-08-19;1588.0;527300.0;11060021.0;19.715389846;19.247722459;18.624165943;20.155547387;19.229382561
2021-08-20;1200.0;485700.0;10855784.0;21.081712212;19.724559795;19.715389846;21.081712212;20.494835491
2021-08-23;770.0;240900.0;5670928.0;21.732778574;21.090882161;21.090882161;21.962027294;21.586059394
2021-08-24;1685.0;478800.0;11255305.0;21.998707089;21.925347499;21.274281136;22.255465654;21.558549548
2021-08-25;781.0;196100.0;4636441.0;21.769458369;21.98953714;21.210091495;22.347165142;21.677758882
2021-08-26;812.0;295500.0;7120016.0;22.237125757;21.696098779;21.595229343;22.924871914;22.090406576
2021-08-27;803.0;327600.0;8198904.0;23.108270889;22.457204527;21.98953714;23.566768328;22.943211812
2021-08-30;1509.0;488200.0;12837716.0;24.51127305;23.199970377;23.199970377;24.51127305;24.116965253
2021-08-31;2357.0;586700.0;15102879.0;23.841866791;24.758861667;22.833172426;25.03396013;23.603448123
2021-09-01;1561.0;266900.0;6861866.0;23.365029455;24.016095817;23.126610787;24.043605663;23.566768328
2021-09-02;1774.0;423100.0;10356835.0;22.108746474;23.438389045;22.072066679;23.658467815;22.438864629
2021-09-03;1552.0;357200.0;8878096.0;22.741472939;22.558073963;22.218785859;23.447558994;22.787322683
2021-09-06;362.0;120100.0;2978582.0;22.869852221;22.466374476;22.365505039;22.915701965;22.741472939
2021-09-08;1515.0;536900.0;12533999.0;21.347640726;22.365505039;20.898313237;22.365505039;21.402660419
2021-09-09;2129.0;706300.0;15991635.0;20.659894569;21.090882161;20.265586772;21.310960931;20.760764005
2021-09-10;769.0;295700.0;6808639.0;21.090882161;21.274281136;20.678234466;21.457680111;21.109222058
2021-09-13;504.0;146800.0;3402777.0;21.274281136;21.494359907;20.889143288;21.494359907;21.24677129
2021-09-14;908.0;250400.0;5834972.0;21.228431392;21.411830368;20.999182673;21.576889445;21.365980624
2021-09-15;874.0;1004800.0;22574429.0;20.403136003;21.586059394;20.210567079;21.586059394;20.595704928
2021-09-16;885.0;231100.0;5214586.0;21.090882161;20.35728626;20.173887284;21.090882161;20.687404415
2021-09-17;809.0;225000.0;5058887.0;21.008352622;21.081712212;19.990488309;21.081712212;20.614044825
2021-09-20;1052.0;227000.0;4992856.0;21.045032417;20.173887284;19.715389846;21.045032417;20.164717336
2021-09-21;1955.0;810500.0;17904724.0;19.898788821;21.365980624;19.898788821;21.46685006;20.247246874
2021-09-22;1186.0;553000.0;12292866.0;20.494835491;20.348116311;19.90795877;20.879973339;20.375626157
2021-09-23;611.0;191800.0;4289890.0;20.586534979;20.522345337;20.283926669;20.824953647;20.50400544
2021-09-24;1330.0;302500.0;6826742.0;20.522345337;20.568195081;20.265586772;21.063372315;20.687404415
2021-09-27;801.0;157100.0;3453492.0;20.173887284;20.513175389;19.917128719;20.586534979;20.155547387
2021-09-28;1574.0;327900.0;6809993.0;19.284402254;19.90795877;18.559976302;19.90795877;19.036813637
2021-09-29;2754.0;855400.0;17251367.0;18.358237429;19.284402254;18.156498556;19.284402254;18.486616711
2021-09-30;2165.0;496100.0;9846779.0;18.339897531;18.633335892;17.789700605;18.761715174;18.193178351
2021-10-01;2117.0;922500.0;17774064.0;17.789700605;18.394917224;17.468752398;18.550806353;17.661321323
2021-10-04;1488.0;332500.0;6472245.0;17.789700605;17.698001118;17.615471579;18.239028095;17.844720298
2021-10-05;1166.0;304300.0;5819423.0;17.377052911;17.835550349;16.973575165;18.055629119;17.53294204
2021-10-06;2437.0;1115300.0;19804764.0;16.432548188;17.377052911;16.010730545;17.377052911;16.285829008
2021-10-07;1689.0;814600.0;14928728.0;16.762666344;17.147804192;16.203299469;17.422902655;16.799346139
2021-10-08;1959.0;430900.0;7970491.0;17.193653935;16.872705729;16.634287061;17.193653935;16.955235268
2021-10-11;1086.0;175400.0;3303748.0;17.422902655;16.927725421;16.927725421;17.587961732;17.267013526
2021-10-13;866.0;233600.0;4572452.0;18.000609427;17.789700605;17.698001118;18.220688197;17.945589734
2021-10-14;873.0;164700.0;3305182.0;18.523296507;18.046459171;17.954759683;18.523296507;18.394917224
2021-10-15;635.0;137400.0;2754729.0;18.385747275;18.56914625;18.184008402;18.56914625;18.376577326
2021-10-18;687.0;182300.0;3693129.0;18.780055072;18.2023483;18.092308915;18.917604303;18.56914625
2021-10-19;882.0;179000.0;3495536.0;17.8263804;18.963454047;17.221163782;18.963454047;17.89973999
2021-10-20;1425.0;284800.0;5393749.0;17.642981425;18.009779376;17.037764806;18.092308915;17.358713013
2021-10-21;1037.0;294700.0;5330849.0;16.551757522;17.38622286;16.166619674;17.38622286;16.579267368
2021-10-22;1454.0;371600.0;6427363.0;16.432548188;16.781006241;15.084565719;16.781006241;15.854841415
2021-10-25;887.0;150500.0;2768094.0;16.872705729;16.139109827;16.139109827;17.340373116;16.86353578
2021-10-26;793.0;166900.0;2973375.0;16.26748911;17.285353423;16.010730545;17.285353423;16.331678752
2021-10-27;872.0;181300.0;3181421.0;16.230809315;16.359188598;15.81816162;16.432548188;16.084090135
2021-10-28;918.0;182950.0;3227179.0;16.331678752;16.221639366;15.772311876;16.744326446;16.166619674
2021-10-29;1380.0;353900.0;6007874.0;15.488043465;16.322508803;14.983696283;16.551757522;15.561403055
2021-11-01;1022.0;252500.0;4262691.0;15.561403055;15.781481825;15.167095258;15.81816162;15.478873516
2021-11-03;1154.0;211100.0;3616585.0;16.001560596;15.680612389;15.176265207;16.074920186;15.708122235
2021-11-04;1021.0;183000.0;3149884.0;15.680612389;16.276659059;15.506383362;16.276659059;15.781481825
2021-11-05;1494.0;351500.0;6315013.0;16.826855985;15.845671466;15.845671466;16.826855985;16.478397932
2021-11-08;1071.0;274200.0;4893666.0;16.460058034;16.964405216;15.772311876;17.056104704;16.359188598
2021-11-09;751.0;121100.0;2169553.0;16.964405216;16.781006241;16.029070442;16.964405216;16.423378239
2021-11-10;1079.0;205600.0;3660281.0;16.505907778;16.505907778;15.955710852;16.634287061;16.322508803
2021-11-11;1217.0;245600.0;4546119.0;16.781006241;16.955235268;16.469227983;17.413732706;16.973575165
2021-11-12;735.0;127700.0;2264389.0;16.04741034;16.64345701;15.983220698;17.166144089;16.258319161
2021-11-16;764.0;138500.0;2350502.0;15.607252799;15.955710852;15.267964694;16.689306753;15.561403055
2021-11-17;1614.0;389400.0;6471189.0;15.423853823;16.074920186;14.506858947;16.074920186;15.231284899
2021-11-18;1889.0;320100.0;5517402.0;15.854841415;15.772311876;15.240454848;16.203299469;15.799821723
2021-11-19;1181.0;252300.0;4595476.0;16.826855985;15.854841415;15.634762645;17.15697414;16.698476702
2021-11-22;1450.0;302300.0;5419736.0;16.230809315;16.955235268;15.909861108;17.147804192;16.432548188
2021-11-23;944.0;250900.0;4230357.0;15.45136367;16.405038342;15.038715975;16.441718137;15.460533618
2021-11-24;1068.0;195700.0;3320832.0;15.588912901;15.735632081;15.176265207;15.992390647;15.552233106
2021-11-25;807.0;200300.0;3486523.0;15.864011364;15.808991671;15.478873516;16.175789623;15.955710852
2021-11-26;1138.0;224300.0;3756843.0;15.497213413;15.433023772;15.029546026;15.497213413;15.350494233
2021-11-29;927.0;166200.0;2738844.0;15.130415463;15.643932594;14.891996795;15.643932594;15.102905616
2021-11-30;1305.0;301600.0;4804609.0;14.442669305;14.864486949;14.305120074;14.974526334;14.607728383
2021-12-01;1445.0;323300.0;4978516.0;14.213420586;14.442669305;13.929152174;14.635238229;14.11255115
2021-12-02;1172.0;225200.0;3471091.0;14.424329408;14.094211252;13.73658325;14.525198844;14.130891047
2021-12-03;1062.0;233800.0;3679232.0;14.213420586;14.415159459;14.057531457;14.937846539;14.424329408
2021-12-06;2176.0;436500.0;7137728.0;15.130415463;14.424329408;14.424329408;15.396343977;14.992866231
2021-12-07;1956.0;331800.0;5635313.0;15.267964694;15.579742952;15.194605104;16.505907778;15.570573004
2021-12-08;1132.0;222700.0;3799701.0;15.864011364;15.488043465;15.029546026;15.955710852;15.643932594
2021-12-09;1048.0;178600.0;3035295.0;15.52472326;15.864011364;15.405513926;15.89152121;15.579742952
2021-12-10;1207.0;512100.0;9126556.0;16.560927471;15.533893208;15.533893208;16.64345701;16.3408487
2021-12-13;1001.0;148100.0;2697155.0;16.597607266;16.881875677;16.322508803;17.230333731;16.698476702
2021-12-14;989.0;317800.0;5386181.0;15.313814438;17.056104704;15.249624797;17.056104704;15.533893208
2021-12-15;1267.0;221600.0;3677345.0;15.442193721;15.698952286;14.754447563;16.019900493;15.212945002
2021-12-16;925.0;154700.0;2555834.0;15.084565719;15.588912901;14.818637205;16.129939879;15.14875536
2021-12-17;782.0;190800.0;3124050.0;15.359664182;14.635238229;14.534368793;15.359664182;15.011206129
2021-12-20;1006.0;181400.0;2872493.0;14.506858947;14.956186436;14.33262992;15.22211495;14.516028895
2021-12-21;1518.0;245000.0;3827422.0;14.616898332;14.671918024;13.910812277;14.726937717;14.323459971
