Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-04-20;2.0;1352.0;3198.0;1.5296137554;1.5296137554;1.5296137554;1.5296137554;1.5296137554
2007-04-23;2.0;1352.0;3189.0;1.5210042971;1.5296137554;1.5210042971;1.5296137554;1.5257873295
2007-04-24;1.0;676.0;1599.0;1.5296137554;1.5296137554;1.5296137554;1.5296137554;1.5296137554
2007-04-25;4.0;8112.0;19800.0;1.7218916571;1.5305703619;1.5305703619;1.7218916571;1.5784006857
2007-04-26;1.0;676.0;1800.0;1.7218916571;1.7218916571;1.7218916571;1.7218916571;1.7218916571
2007-04-27;1.0;2028.0;5250.0;1.6740613333;1.6740613333;1.6740613333;1.6740613333;1.6740613333
2007-04-30;1.0;2704.0;7000.0;1.6740613333;1.6740613333;1.6740613333;1.6740613333;1.6740613333
2007-05-02;2.0;2704.0;7000.0;1.6740613333;1.6740613333;1.6740613333;1.6740613333;1.6740613333
2007-05-03;1.0;676.0;1800.0;1.7218916571;1.7218916571;1.7218916571;1.7218916571;1.7218916571
2007-05-04;1.0;676.0;1800.0;1.7218916571;1.7218916571;1.7218916571;1.7218916571;1.7218916571
2007-05-15;7.0;15548.0;41503.0;1.7218916571;1.7171086247;1.7171086247;1.9112997394;1.725718083
2007-05-28;3.0;8112.0;20998.0;1.6740613333;1.6731047268;1.6731047268;1.6740613333;1.6740613333
2007-05-30;1.0;676.0;1750.0;1.6740613333;1.6740613333;1.6740613333;1.6740613333;1.6740613333
2007-06-01;513.0;5898100.0;14435536.0;1.5975328152;1.5803138986;1.5640515885;1.60709888;1.5831837181
2007-06-04;483.0;4922632.0;12245466.0;1.6061422735;1.6090120929;1.5745742598;1.6204913706;1.6090120929
2007-06-05;311.0;2950740.0;7293465.0;1.5975328152;1.6185781577;1.5898799634;1.6185781577;1.5984894217
2007-06-06;304.0;2873676.0;6997126.0;1.5602251626;1.5879667504;1.5592685561;1.5889233569;1.5745742598
2007-06-08;372.0;2153060.0;5187334.0;1.5927497828;1.5305703619;1.5133514453;1.5927497828;1.5583119497
2007-06-11;275.0;2779036.0;6869215.0;1.6004026346;1.6061422735;1.5898799634;1.6109253059;1.5984894217
2007-06-12;239.0;2220660.0;5489008.0;1.5975328152;1.5975328152;1.5803138986;1.6118819123;1.5984894217
2007-06-13;460.0;6659952.0;16682572.0;1.6224045836;1.5975328152;1.5908365699;1.6329272548;1.6195347641
2007-06-14;274.0;3170440.0;7894750.0;1.5975328152;1.6166649447;1.5975328152;1.6243177965;1.6099686994
2007-06-15;451.0;4825964.0;12016386.0;1.6262310095;1.60709888;1.5889233569;1.6300574354;1.6099686994
2007-06-18;429.0;4702932.0;11777004.0;1.6357970742;1.625274403;1.5994460281;1.6405801066;1.6195347641
2007-06-19;353.0;2630992.0;6634036.0;1.6419356779;1.6323617089;1.6180007554;1.6428930748;1.6323617089
2007-06-20;597.0;3681496.0;9261121.0;1.6294895182;1.6428930748;1.6189581523;1.6505522499;1.6285321213
2007-06-21;304.0;3004820.0;7521898.0;1.6180007554;1.6256599306;1.613213771;1.6285321213;1.6199155492
2007-06-22;235.0;2107768.0;5298849.0;1.6400208841;1.6227877399;1.6151285648;1.6400208841;1.6266173275
2007-06-25;202.0;867308.0;2188885.0;1.6400208841;1.6275747244;1.621830343;1.6400208841;1.6333191058
2007-06-26;442.0;5777772.0;14875010.0;1.6668279972;1.6352338996;1.6323617089;1.6792741568;1.6658706003
2007-06-27;321.0;3841032.0;9890482.0;1.6658706003;1.6419356779;1.6419356779;1.6850185382;1.6668279972
2007-06-28;218.0;1632540.0;4211272.0;1.6764019661;1.6744871724;1.6534244406;1.6840611413;1.6697001879
2007-06-29;630.0;6820840.0;18140121.0;1.7443771458;1.6764019661;1.6764019661;1.7443771458;1.7213996203
2007-07-02;633.0;10478676.0;28439910.0;1.7951191813;1.7357605737;1.7261866048;1.7999061658;1.7568233055
2007-07-03;470.0;6436872.0;17826787.0;1.7903321969;1.7999061658;1.770226862;1.8286280727;1.7922469907
2007-07-04;472.0;2557308.0;7195784.0;1.7999061658;1.7999061658;1.7826730217;1.8544777889;1.8209688976
2007-07-05;328.0;3355664.0;9218158.0;1.7999061658;1.8085227379;1.7472493365;1.8085227379;1.7778860372
2007-07-06;1008.0;18079620.0;52757008.0;1.90043284;1.8094801348;1.8094801348;1.9205381748;1.8889440772
2007-07-10;362.0;2123992.0;6200250.0;1.8621369641;1.90043284;1.8592647734;1.9387287158;1.8889440772
2007-07-11;412.0;2816892.0;8010427.0;1.8410742324;1.8573499796;1.8190541038;1.8573499796;1.8401168355
2007-07-12;206.0;1987440.0;5751359.0;1.8650091548;1.8669239486;1.8563925827;1.8860718865;1.87266833
2007-07-13;251.0;2232828.0;6569197.0;1.9147937934;1.8477760107;1.8477760107;1.9205381748;1.9042624276
2007-07-16;234.0;1456780.0;4376230.0;1.9435157003;1.8860718865;1.8860718865;1.9693654165;1.9444730972
2007-07-17;215.0;3221140.0;9709307.0;1.9483026848;1.9291547469;1.9291547469;1.9636210352;1.9511748755
2007-07-18;221.0;2393716.0;7149376.0;1.9521322724;1.9435157003;1.9147937934;1.9521322724;1.9329843345
2007-07-19;486.0;5885256.0;18402233.0;2.0584033279;1.9521322724;1.9521322724;2.0871252348;2.0239370397
