Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2015-06-03;0.0;0.0;0.0;5.9052254817;;5.9052254817;5.9052254817;5.9052254817
2015-06-05;18857.0;15531400.0;214206340.0;6.6571479478;6.5134684957;6.4655753449;6.7768808245;6.604465482
2015-06-08;3804.0;1648300.0;22715018.0;6.5996761669;6.7577235642;6.537415071;6.7912487697;6.5996761669
2015-06-09;3028.0;2161400.0;29549281.0;6.537415071;6.5996761669;6.4751539751;6.6284120573;6.5469937011
2015-06-10;1138.0;676000.0;9393396.0;6.7050410985;6.5613616464;6.5422043861;6.738566304;6.6571479478
2015-06-11;916.0;1118600.0;15729891.0;6.8295632903;6.7098304135;6.6332013724;6.944506852;6.7337769889
2015-06-12;3986.0;787100.0;11379784.0;6.9588747972;6.8582991807;6.7864594547;7.0355038383;6.9253495917
2015-06-15;1135.0;306400.0;4431499.0;7.011557263;6.949296167;6.8487205506;7.011557263;6.9253495917
2015-06-16;1901.0;824000.0;12081294.0;6.9684534273;7.0067679479;6.9301389068;7.1360794548;7.0211358931
2015-06-17;1144.0;468400.0;6749284.0;6.8247739752;6.9971893177;6.8056167149;7.0307145232;6.9014030163
2015-06-18;1312.0;794500.0;11327207.0;6.9924000027;6.8151953451;6.6571479478;6.9924000027;6.8295632903
2015-06-19;2272.0;524100.0;7711200.0;7.0402931534;6.9828213725;6.8008273999;7.1312901397;7.0450824685
2015-06-22;502.0;243600.0;3591323.0;7.0786076739;7.1360794548;7.016346578;7.1360794548;7.0594504137
2015-06-23;970.0;531400.0;7759980.0;6.9924000027;7.0642397287;6.9684534273;7.0642397287;6.9924000027
2015-06-24;710.0;224200.0;3272194.0;6.949296167;7.016346578;6.9397175369;7.0738183589;6.9876106876
2015-06-25;2008.0;870300.0;12246481.0;6.6810945231;6.944506852;6.6810945231;6.944506852;6.738566304
2015-06-26;2524.0;1169900.0;15856511.0;6.4176821942;6.6667265779;6.398524934;6.7481449341;6.4895219203
2015-06-29;2024.0;3135800.0;41293260.0;6.3458424682;6.398524934;6.1542698654;6.403314249;6.3075279476
2015-06-30;1165.0;1839700.0;24952717.0;6.4943112354;6.3458424682;6.1877950709;6.5948868518;6.4943112354
2015-07-01;758.0;1049400.0;14255989.0;6.5613616464;6.5948868518;6.3841569888;6.604465482;6.5038898655
2015-07-02;929.0;958800.0;13243612.0;6.738566304;6.5996761669;6.4176821942;6.7481449341;6.6140441121
2015-07-03;647.0;362900.0;5134416.0;6.8008273999;6.7289876738;6.6092547971;6.8870350711;6.7768808245
2015-07-06;402.0;399500.0;5581027.0;6.7337769889;6.7050410985;6.5853082217;6.8008273999;6.6906731533
2015-07-07;325.0;232800.0;3250993.0;6.7050410985;6.7337769889;6.6571479478;6.743355619;6.6858838382
2015-07-08;335.0;239500.0;3354764.0;6.7050410985;6.8008273999;6.6667265779;6.9014030163;6.7098304135
2015-07-10;289.0;129800.0;1816293.0;6.7050410985;6.7864594547;6.6379906875;6.7864594547;6.7002517834
2015-07-13;789.0;233600.0;3278308.0;6.7289876738;6.7289876738;6.7050410985;6.7481449341;6.7194090437
2015-07-14;1157.0;217500.0;3027840.0;6.6810945231;6.7337769889;6.6092547971;6.7481449341;6.6667265779
2015-07-15;58.0;102400.0;1434664.0;6.7289876738;6.7050410985;6.6810945231;6.7768808245;6.7098304135
