Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-07-27;0.0;0.0;0.0;4.6035937556;4.6035937556;4.6035937556;4.6035937556;4.6035937556
2008-07-11;4.0;17700.0;140003.0;4.8889071609;4.9363322409;4.8889071609;4.9363322409;4.8930310809
2008-07-14;7.0;66900.0;533582.0;4.9383942009;4.9054028409;4.8971550009;4.9487040009;4.9342702809
2008-07-15;50.0;3314100.0;25413265.0;4.7425080008;4.8002428808;4.7425080008;4.9383942009;4.7425080008
2008-07-16;33.0;132900.0;1017009.0;4.7425080008;4.9260224409;4.6002327608;4.9260224409;4.7342601608
2008-07-17;62.0;274800.0;2083508.0;4.6992068408;4.7321982008;4.6187904008;4.7342601608;4.6909590008
2008-07-18;24.0;151800.0;1153947.0;4.7012688008;4.7012688008;4.6497198008;4.7218884008;4.7033307608
2008-07-21;2.0;1500.0;11515.0;4.7383840808;4.7899330809;4.7383840808;4.7899330809;4.7486938808
2008-07-22;3.0;3900.0;29310.0;4.6806492008;4.6394100008;4.6394100008;4.6806492008;4.6497198008
2008-07-23;71.0;533400.0;3946486.0;4.6827111608;4.8208624809;4.4765151608;4.8208624809;4.5775512008
2008-07-24;13.0;267000.0;2012812.0;4.6806492008;4.7218884008;4.6600296008;4.7218884008;4.6641535208
2008-07-25;5.0;53400.0;403903.0;4.6992068408;4.7425080008;4.5754892408;4.7425080008;4.6785872408
2008-07-28;9.0;84300.0;630949.0;4.6600296008;4.6394100008;4.6187904008;4.6992068408;4.6291002008
2008-07-29;27.0;503100.0;3759231.0;4.6785872408;4.6806492008;4.5981708008;4.6806492008;4.6229143208
2008-07-30;71.0;893100.0;6657576.0;4.6394100008;4.6806492008;4.5404359208;4.6806492008;4.6105425608
2008-07-31;30.0;146100.0;1071046.0;4.4744532008;4.6394100008;4.3754791208;4.6394100008;4.5342500408
2008-08-01;10.0;24900.0;182395.0;4.5569316008;4.4744532008;4.4311520408;4.5961088408;4.5321880808
2008-08-04;27.0;61500.0;441745.0;4.4332140008;4.6146664808;4.3899128408;4.6146664808;4.4435238008
2008-08-05;41.0;236400.0;1723037.0;4.5156924008;4.5363120008;4.4311520408;4.5651794408;4.5095065208
2008-08-06;22.0;274500.0;2021247.0;4.5342500408;4.6476578408;4.5342500408;4.6476578408;4.5548696408
2008-08-07;12.0;159300.0;1168402.0;4.5363120008;4.6785872408;4.5363120008;4.6785872408;4.5363120008
2008-08-08;18.0;227700.0;1640130.0;4.5156924008;4.5363120008;4.3919748008;4.5363120008;4.4558955608
2008-08-11;31.0;665100.0;4656772.0;4.3280540408;4.4332140008;4.2682572008;4.4332140008;4.3301160008
2008-08-12;27.0;308100.0;2080800.0;4.2167082008;4.3919748008;4.1548494007;4.3919748008;4.1775309607
2008-08-13;21.0;90000.0;594537.0;4.0620612007;4.2043364407;4.0620612007;4.2063984007;4.0868047207
2008-08-14;51.0;258300.0;1688268.0;4.2270180007;3.9795828007;3.9795828007;4.2270180007;4.0435035607
2008-08-15;22.0;72600.0;494380.0;4.2270180007;4.2270180007;4.1239200007;4.2579474008;4.2125842807
2008-08-18;63.0;690900.0;4701688.0;4.1651592007;4.2558854408;4.1651592007;4.2579474008;4.2105223207
2008-08-19;33.0;1704900.0;11347200.0;4.1651592007;4.1239200007;4.0826808007;4.1651592007;4.1177341207
2008-08-20;53.0;221100.0;1477295.0;4.2063984007;4.1239200007;4.0826808007;4.2063984007;4.1321678407
2008-08-21;29.0;2921100.0;19950566.0;4.1857788007;4.2249560407;4.1816548807;4.2888768008;4.2249560407
2008-08-22;20.0;31200.0;209594.0;4.1713450807;4.1857788007;4.0909286407;4.1857788007;4.1548494007
2008-08-25;11.0;146700.0;989818.0;4.1218580407;4.2538234808;4.1218580407;4.2538234808;4.1734070407
2008-08-26;41.0;307800.0;2038538.0;4.1136102007;4.2228940807;4.0744329607;4.2228940807;4.0971145207
