Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-12-15;0.0;0.0;0.0;17.691785424;17.691785424;17.691785424;17.691785424;17.691785424
2017-12-18;13468.0;20735900.0;369823387.0;17.347778485;17.49521003;17.347778485;17.740929272;17.524696339
2017-12-19;6699.0;5367900.0;92662484.0;16.88582631;17.269148328;16.728565995;17.298634637;16.964456468
2017-12-20;4811.0;2352000.0;40923458.0;17.151203092;16.866168771;16.708908456;17.426408643;17.092230473
2017-12-21;2395.0;1759000.0;30247648.0;17.003771546;17.288805867;16.718737226;17.288805867;16.89565508
2017-12-22;2348.0;927800.0;15970317.0;16.984114007;16.90548385;16.758052304;17.052915395;16.915312619
2017-12-26;2101.0;1986300.0;34005345.0;16.866168771;16.90548385;16.718737226;16.993942777;16.817024922
2017-12-27;1304.0;947300.0;16464008.0;17.151203092;16.807196153;16.767881074;17.278977097;17.072572934
2017-12-28;652.0;729000.0;12739929.0;17.20034694;17.249490788;16.915312619;17.249490788;17.170860631
2018-01-02;4385.0;1393900.0;24510991.0;17.416579873;17.298634637;17.052915395;17.416579873;17.278977097
2018-01-03;2401.0;2736300.0;48712380.0;17.593497727;17.406751103;17.259319558;17.593497727;17.49521003
2018-01-04;1282.0;1305200.0;23310158.0;17.593497727;17.593497727;17.396922334;17.642641576;17.544353879
2018-01-05;2545.0;1063300.0;18944250.0;17.49521003;17.544353879;17.446066182;17.632812806;17.5050388
2018-01-08;1648.0;800000.0;14177888.0;17.49521003;17.524696339;17.308463406;17.564011418;17.416579873
2018-01-09;1771.0;1186300.0;20936769.0;17.298634637;17.544353879;17.298634637;17.544353879;17.337949715
2018-01-10;1165.0;779500.0;13713273.0;17.298634637;17.20034694;17.003771546;17.446066182;17.288805867
2018-01-11;932.0;551400.0;9796743.0;17.544353879;17.347778485;17.347778485;17.622984036;17.455894952
2018-01-12;2769.0;894400.0;16048305.0;17.691785424;17.583668957;17.406751103;17.721271733;17.632812806
2018-01-15;483.0;169900.0;3029873.0;17.446066182;17.691785424;17.416579873;17.711442963;17.524696339
2018-01-16;520.0;341100.0;6042641.0;17.426408643;17.416579873;17.229833249;17.593497727;17.406751103
2018-01-17;1002.0;1187900.0;20975347.0;17.347778485;17.308463406;17.269148328;17.446066182;17.347778485
2018-01-18;2335.0;1129900.0;19794499.0;17.377264794;17.446066182;16.846511231;17.446066182;17.21017571
2018-01-19;417.0;84100.0;1476620.0;17.20034694;17.367436024;17.141374322;17.367436024;17.249490788
2018-01-22;503.0;299800.0;5211723.0;17.062744164;17.396922334;17.013600316;17.396922334;17.082401704
2018-01-23;1432.0;575500.0;9889004.0;16.866168771;16.90548385;16.797367383;17.161031861;16.88582631
