ticker,presenca_pct,primeiro_pregao_real,motivo
AALR3,57.42,2016-10-27,Presenca em pregao < 95% (Etapa IV)
ADMF3,1.21,2025-02-27,Presenca em pregao < 95% (Etapa IV)
AERI3,32.29,2020-11-10,Presenca em pregao < 95% (Etapa IV)
AESO3,0.0,,Presenca em pregao < 95% (Etapa IV)
AFLT3,42.15,2010-12-02,Presenca em pregao < 95% (Etapa IV)
AGXY3,27.96,2021-07-23,Presenca em pregao < 95% (Etapa IV)
AHEB3,9.65,2010-02-24,Presenca em pregao < 95% (Etapa IV)
AHEB5,2.39,2010-03-08,Presenca em pregao < 95% (Etapa IV)
AHEB6,1.61,2010-03-08,Presenca em pregao < 95% (Etapa IV)
ALLD3,29.77,2021-04-09,Presenca em pregao < 95% (Etapa IV)
ALOS3,93.22,2011-02-02,Presenca em pregao < 95% (Etapa IV)
ALPA3,87.27,2010-01-07,Presenca em pregao < 95% (Etapa IV)
ALPK3,35.42,2020-05-14,Presenca em pregao < 95% (Etapa IV)
ALUP11,79.41,2013-04-23,Presenca em pregao < 95% (Etapa IV)
ALUP3,52.28,2016-10-04,Presenca em pregao < 95% (Etapa IV)
ALUP4,53.06,2016-09-09,Presenca em pregao < 95% (Etapa IV)
AMBP3,34.41,2020-07-10,Presenca em pregao < 95% (Etapa IV)
AMOB3,6.55,2024-12-13,Presenca em pregao < 95% (Etapa IV)
ANIM3,76.13,2013-10-25,Presenca em pregao < 95% (Etapa IV)
APTI3,0.0,,Presenca em pregao < 95% (Etapa IV)
APTI4,0.13,2015-07-27,Presenca em pregao < 95% (Etapa IV)
ARML3,27.91,2021-07-27,Presenca em pregao < 95% (Etapa IV)
ARND3,28.99,2021-05-14,Presenca em pregao < 95% (Etapa IV)
ASAI3,30.5,2021-02-26,Presenca em pregao < 95% (Etapa IV)
ATED3,6.6,2024-12-11,Presenca em pregao < 95% (Etapa IV)
AUAU3,33.32,2020-09-10,Presenca em pregao < 95% (Etapa IV)
AURA33,34.51,2020-07-06,Presenca em pregao < 95% (Etapa IV)
AURE3,23.72,2022-03-28,Presenca em pregao < 95% (Etapa IV)
AVLL3,27.38,2020-12-10,Presenca em pregao < 95% (Etapa IV)
AXIA5,6.1,2010-02-09,Presenca em pregao < 95% (Etapa IV)
AXIA7,0.13,2025-12-22,Presenca em pregao < 95% (Etapa IV)
AZEV3,44.06,2011-05-20,Presenca em pregao < 95% (Etapa IV)
AZEV4,69.15,2011-05-02,Presenca em pregao < 95% (Etapa IV)
AZTE3,5.55,2025-02-13,Presenca em pregao < 95% (Etapa IV)
AZUL53,0.0,,Presenca em pregao < 95% (Etapa IV)
