,mu_anual,sigma_anual,sharpe_anual,assimetria,curtose_exc
ABCB4,0.1736786407,0.3116909187,0.2590455751,0.1169916248,0.7716577625
ABEV3,0.1224510761,0.2351048720,0.1255379714,0.1380295936,1.0527198477
AGRO3,0.1502044551,0.2637076214,0.2171646286,0.0782802873,1.1234026641
ALPA4,0.1931259984,0.3556636018,0.2816973974,0.0658301764,1.0850979274
AMAR3,-0.1016351332,0.4873612164,-0.3992349289,0.3003773968,1.1400902526
AMER3,-0.1704857754,0.6088583704,-0.4326494889,0.2482498949,1.1731540351
AXIA3,0.1494109829,0.4111755784,0.1373488565,0.2202336324,1.1008794056
AXIA6,0.1663863648,0.3734058180,0.1967025522,0.1572227117,1.0014009141
B3SA3,0.1790526555,0.3504231486,0.2457490849,0.1594482916,0.7672530349
BBAS3,0.1723866736,0.3425639434,0.2319280465,0.1586707946,0.9371156654
BBDC3,0.1418462197,0.2936380682,0.1665646847,0.1498769133,0.9589642825
BBDC4,0.1439572888,0.2984650580,0.1709439683,0.1219630874,0.8948085342
BEEF3,0.1195863716,0.3679932696,0.0724194880,0.1825796155,1.0391090096
BEES3,0.1287332823,0.2668173568,0.1341621675,0.1523664046,1.5902476601
BRAP3,0.1577450268,0.3647477231,0.1776804493,0.1474916033,1.0318375864
BRAP4,0.1752764735,0.3641364948,0.2261239597,0.1605736445,0.9200974986
BRKM3,0.0975989002,0.4046409107,0.0115223465,0.2480082149,1.2932439416
BRKM5,0.0429277534,0.4068505172,-0.1229167271,0.2472513695,1.0181104241
BRSR6,0.1591319472,0.3664165673,0.1806562957,0.0563579125,0.8482527240
CGAS5,0.1415707883,0.2407946126,0.2019742067,0.1907240888,1.2614432949
CLSC4,0.1325551758,0.2877144466,0.1377014217,0.1647220533,1.1114407957
CMIG3,0.2305783734,0.3444235335,0.3996297366,0.1044891206,0.9777825246
CMIG4,0.2230126839,0.3399034930,0.3826856717,0.0684147837,1.0126629741
COCE5,0.0697042094,0.2537323815,-0.0915621326,0.1296571382,1.0310133788
CPFE3,0.1796308515,0.2463334199,0.3519391079,0.1211058002,0.9187663225
CPLE3,0.2163065654,0.3083601435,0.4000843838,0.0613288665,1.0824595855
CSAN3,0.1098027171,0.3399553179,0.0496130779,0.1049192957,0.7699323271
CSMG3,0.2590658713,0.3362439596,0.4940739578,0.0651734574,0.9844642478
CSNA3,0.0930104273,0.4951714554,0.0001493219,0.3038730798,0.9300057045
CSUD3,0.1695775479,0.3965327659,0.1932780014,0.2407657466,1.1705275841
CYRE3,0.1562751739,0.3927841642,0.1612557029,0.1179090874,0.9082245238
DIRR3,0.2476809488,0.3827114655,0.4043371451,0.1286904118,0.9648149928
DXCO3,0.0924492802,0.3828315626,-0.0012726412,0.2247591871,0.8845598536
EGIE3,0.1512465413,0.2225725543,0.2619822292,0.0982599269,0.9297422359
EMBJ3,0.2082619154,0.3562604170,0.3237110340,0.1897425361,1.0719669079
ENEV3,-0.0092242012,0.4059051616,-0.2516861037,0.0789364616,1.4439129216
EQTL3,0.2449711036,0.2519069738,0.6035347647,0.1071431196,0.9770584461
ETER3,-0.0936103202,0.4193391636,-0.4448590159,0.2715622254,1.5595654657
EUCA4,0.1971246051,0.4365819876,0.2386450212,0.2453393292,1.1714784567
EVEN3,0.1407560054,0.4132364190,0.1157195150,0.1555231637,0.8470722026
EZTC3,0.1943251693,0.3813584386,0.2658619075,0.1298383205,0.8819304419
FESA4,0.1778550211,0.3622032464,0.2344499518,0.1870266155,1.0357795439
FHER3,-0.1360566294,0.5156774145,-0.4440627230,0.2569009883,1.2860747178
FICT3,-0.0784353712,0.8122027099,-0.2109964132,0.3780055723,2.1552337123
FLRY3,0.1200134259,0.2938649484,0.0921407560,0.1428373112,0.8031378817
GFSA3,-0.3840089852,0.5893381857,-0.8092899530,0.3697273198,1.1575870583
GGBR3,0.1304933655,0.3712194660,0.1011716291,0.1399746036,0.9189735908
GGBR4,0.1123978077,0.3893117559,0.0499890384,0.2021207516,0.8471786741
