Ativo,Peso Mkt Estimado,Retorno Implicito Equilíbrio (Π)
ABCB4,0.007352941176470588,-0.35%
ABEV3,0.007352941176470588,-0.23%
AGRO3,0.007352941176470588,-0.16%
ALPA4,0.007352941176470588,-0.37%
AMAR3,0.007352941176470588,-0.53%
AMER3,0.007352941176470588,-0.53%
AXIA3,0.007352941176470588,-0.51%
AXIA6,0.007352941176470588,-0.44%
B3SA3,0.007352941176470588,-0.46%
BBAS3,0.007352941176470588,-0.48%
BBDC3,0.007352941176470588,-0.41%
BBDC4,0.007352941176470588,-0.42%
BEEF3,0.007352941176470588,-0.25%
BEES3,0.007352941176470588,-0.18%
BRAP3,0.007352941176470588,-0.35%
BRAP4,0.007352941176470588,-0.37%
BRKM3,0.007352941176470588,-0.31%
BRKM5,0.007352941176470588,-0.43%
BRSR6,0.007352941176470588,-0.41%
CGAS5,0.007352941176470588,-0.16%
CGRA4,0.007352941176470588,-0.2%
CLSC4,0.007352941176470588,-0.18%
CMIG3,0.007352941176470588,-0.4%
CMIG4,0.007352941176470588,-0.42%
COCE5,0.007352941176470588,-0.16%
CPFE3,0.007352941176470588,-0.26%
CPLE3,0.007352941176470588,-0.34%
CSAN3,0.007352941176470588,-0.41%
CSMG3,0.007352941176470588,-0.32%
CSNA3,0.007352941176470588,-0.57%
CSUD3,0.007352941176470588,-0.31%
CYRE3,0.007352941176470588,-0.57%
DIRR3,0.007352941176470588,-0.43%
DXCO3,0.007352941176470588,-0.47%
ECOR3,0.007352941176470588,-0.48%
EGIE3,0.007352941176470588,-0.21%
EMBJ3,0.007352941176470588,-0.3%
ENEV3,0.007352941176470588,-0.31%
EQTL3,0.007352941176470588,-0.26%
ETER3,0.007352941176470588,-0.4%
EUCA4,0.007352941176470588,-0.33%
EVEN3,0.007352941176470588,-0.55%
EZTC3,0.007352941176470588,-0.52%
FESA4,0.007352941176470588,-0.31%
FHER3,0.007352941176470588,-0.35%
FICT3,0.007352941176470588,-0.31%
FLRY3,0.007352941176470588,-0.27%
GFSA3,0.007352941176470588,-0.58%
GGBR3,0.007352941176470588,-0.41%
GGBR4,0.007352941176470588,-0.45%
GOAU3,0.007352941176470588,-0.43%
GOAU4,0.007352941176470588,-0.49%
GOLL54,0.007352941176470588,-2.18%
GRND3,0.007352941176470588,-0.29%
HAGA4,0.007352941176470588,-0.26%
HBOR3,0.007352941176470588,-0.6%
HYPE3,0.007352941176470588,-0.33%
INEP4,0.007352941176470588,-0.32%
ISAE4,0.007352941176470588,-0.19%
ITSA3,0.007352941176470588,-0.28%
ITSA4,0.007352941176470588,-0.38%
ITUB3,0.007352941176470588,-0.34%
ITUB4,0.007352941176470588,-0.38%
JHSF3,0.007352941176470588,-0.5%
KEPL3,0.007352941176470588,-0.26%
KLBN4,0.007352941176470588,-0.2%
LAND3,0.007352941176470588,-0.26%
LIGT3,0.007352941176470588,-0.46%
LOGN3,0.007352941176470588,-0.42%
LPSB3,0.007352941176470588,-0.49%
LREN3,0.007352941176470588,-0.47%
LUPA3,0.007352941176470588,-0.48%
MBRF3,0.007352941176470588,-0.37%
MDIA3,0.007352941176470588,-0.27%
MILS3,0.007352941176470588,-0.47%
MOTV3,0.007352941176470588,-0.41%
MRVE3,0.007352941176470588,-0.53%
MULT3,0.007352941176470588,-0.39%
MYPK3,0.007352941176470588,-0.41%
NATU3,0.007352941176470588,-0.41%
NEXP3,0.007352941176470588,-0.44%
ODPV3,0.007352941176470588,-0.21%
OIBR3,0.007352941176470588,-0.48%
OIBR4,0.007352941176470588,-0.39%
PDGR3,0.007352941176470588,-0.67%
PDTC3,0.007352941176470588,-0.32%
PETR3,0.007352941176470588,-0.49%
PETR4,0.007352941176470588,-0.5%
PFRM3,0.007352941176470588,-0.31%
PINE4,0.007352941176470588,-0.3%
PMAM3,0.007352941176470588,-0.41%
POMO3,0.007352941176470588,-0.35%
POMO4,0.007352941176470588,-0.41%
POSI3,0.007352941176470588,-0.5%
PRIO3,0.007352941176470588,-0.48%
PSSA3,0.007352941176470588,-0.23%
PTBL3,0.007352941176470588,-0.43%
RADL3,0.007352941176470588,-0.23%
RAPT4,0.007352941176470588,-0.49%
RCSL4,0.007352941176470588,-0.4%
RDNI3,0.007352941176470588,-0.26%
RENT3,0.007352941176470588,-0.46%
RIAA3,0.007352941176470588,-0.5%
ROMI3,0.007352941176470588,-0.36%
RPMG3,0.007352941176470588,-0.31%
RSID3,0.007352941176470588,-0.56%
SANB11,0.007352941176470588,-0.39%
SANB3,0.007352941176470588,-0.39%
SANB4,0.007352941176470588,-0.35%
SAPR4,0.007352941176470588,-0.27%
SBSP3,0.007352941176470588,-0.37%
SCAR3,0.007352941176470588,-0.22%
SHUL4,0.007352941176470588,-0.27%
SIMH3,0.007352941176470588,-0.5%
SLCE3,0.007352941176470588,-0.2%
SMTO3,0.007352941176470588,-0.3%
TASA4,0.007352941176470588,-0.33%
TCSA3,0.007352941176470588,-0.53%
TELB4,0.007352941176470588,-0.33%
TGMA3,0.007352941176470588,-0.41%
TIMS3,0.007352941176470588,-0.28%
TOTS3,0.007352941176470588,-0.32%
TPIS3,0.007352941176470588,-0.4%
TRIS3,0.007352941176470588,-0.44%
TUPY3,0.007352941176470588,-0.24%
UNIP6,0.007352941176470588,-0.31%
USIM3,0.007352941176470588,-0.44%
USIM5,0.007352941176470588,-0.56%
VALE3,0.007352941176470588,-0.35%
VIVR3,0.007352941176470588,-0.52%
VIVT3,0.007352941176470588,-0.2%
VLID3,0.007352941176470588,-0.35%
VSTE3,0.007352941176470588,-0.37%
WEGE3_,0.007352941176470588,-0.25%
WHRL4,0.007352941176470588,-0.19%
YDUQ3,0.007352941176470588,-0.47%
