Ativo,Beta (β),Alfa Anual (α),Retorno Esp. CAPM,Índice Sharpe,Índice Sortino
ABCB4,0.788,8.81%,8.96%,0.26,0.4
ABEV3,0.566,4.69%,9.06%,0.18,0.26
AGRO3,0.322,4.26%,9.18%,0.15,0.2
ALPA4,0.768,11.46%,8.97%,0.28,0.4
AMAR3,1.015,-17.57%,8.85%,-0.33,-0.49
AMER3,1.113,-14.92%,8.81%,-0.18,-0.27
AXIA3,1.176,12.26%,8.78%,0.25,0.38
AXIA6,1.012,12.38%,8.85%,0.28,0.42
B3SA3,1.14,10.91%,8.79%,0.28,0.44
BBAS3,1.233,8.73%,8.75%,0.21,0.3
BBDC3,1.078,5.6%,8.82%,0.16,0.23
BBDC4,1.119,5.61%,8.8%,0.16,0.23
BEEF3,0.572,1.63%,9.06%,0.03,0.05
BEES3,0.385,8.25%,9.15%,0.25,0.38
BRAP3,0.917,8.57%,8.9%,0.21,0.31
BRAP4,1.038,9.16%,8.84%,0.22,0.33
BRKM3,0.647,2.11%,9.03%,0.04,0.06
BRKM5,0.982,2.92%,8.87%,0.05,0.08
BRSR6,0.959,7.29%,8.88%,0.18,0.26
CGAS5,0.329,15.15%,9.18%,0.49,0.76
CGRA4,0.417,8.67%,9.13%,0.28,0.41
CLSC4,0.383,12.05%,9.15%,0.36,0.57
CMIG3,0.872,13.57%,8.92%,0.34,0.47
CMIG4,0.947,11.36%,8.88%,0.29,0.4
COCE5,0.324,-0.62%,9.18%,-0.03,-0.04
CPFE3,0.621,6.92%,9.04%,0.25,0.35
CPLE3,0.75,11.99%,8.98%,0.35,0.49
CSAN3,0.965,0.81%,8.88%,0.01,0.01
CSMG3,0.663,14.96%,9.02%,0.39,0.53
CSNA3,1.438,3.74%,8.65%,0.06,0.09
CSUD3,0.605,10.31%,9.05%,0.23,0.35
CYRE3,1.251,6.94%,8.74%,0.15,0.22
DIRR3,0.88,14.42%,8.92%,0.35,0.52
DXCO3,1.035,-0.55%,8.84%,-0.03,-0.04
ECOR3,1.04,3.74%,8.84%,0.08,0.12
EGIE3,0.508,5.91%,9.09%,0.24,0.37
EMBJ3,0.703,14.35%,9.0%,0.35,0.5
ENEV3,0.629,-4.8%,9.03%,-0.1,-0.14
EQTL3,0.574,15.25%,9.06%,0.57,0.85
ETER3,0.721,-1.42%,8.99%,-0.03,-0.05
EUCA4,0.661,14.72%,9.02%,0.3,0.46
EVEN3,1.153,4.81%,8.79%,0.1,0.14
EZTC3,1.087,10.91%,8.82%,0.25,0.38
FESA4,0.675,11.18%,9.01%,0.28,0.44
FHER3,0.634,9.01%,9.03%,0.12,0.2
FICT3,0.494,58.65%,9.1%,0.46,0.83
FLRY3,0.574,4.32%,9.06%,0.13,0.2
GFSA3,1.191,-38.66%,8.77%,-0.57,-0.95
GGBR3,0.986,3.13%,8.87%,0.07,0.1
GGBR4,1.137,2.62%,8.8%,0.05,0.08
GOAU3,1.023,-1.36%,8.85%,-0.05,-0.06
GOAU4,1.21,-1.06%,8.76%,-0.04,-0.05
GOLL54,1.692,114.44%,8.53%,0.24,1.78
GRND3,0.588,6.31%,9.05%,0.2,0.29
HAGA4,0.477,1.08%,9.11%,0.02,0.02
HBOR3,1.174,-0.6%,8.78%,-0.02,-0.03
HYPE3,0.765,-0.01%,8.97%,-0.01,-0.02
INEP4,0.566,-0.67%,9.06%,-0.01,-0.02
ISAE4,0.439,7.07%,9.12%,0.28,0.38
ITSA3,0.712,7.5%,9.0%,0.24,0.36
ITSA4,0.998,8.2%,8.86%,0.27,0.41
ITUB3,0.881,9.75%,8.92%,0.34,0.52
ITUB4,1.024,8.78%,8.85%,0.28,0.43
JHSF3,1.01,11.44%,8.85%,0.24,0.39
KEPL3,0.521,12.87%,9.09%,0.28,0.42
KLBN4,0.504,9.53%,9.09%,0.31,0.48
LAND3,0.557,-12.63%,9.07%,-0.28,-0.45
LIGT3,0.94,-3.38%,8.89%,-0.08,-0.11
LOGN3,0.816,5.63%,8.95%,0.09,0.15
LPSB3,0.957,-4.75%,8.88%,-0.1,-0.15
LREN3,1.069,7.73%,8.83%,0.19,0.29
LUPA3,0.883,-12.68%,8.91%,-0.12,-0.22
MBRF3,0.88,5.5%,8.92%,0.11,0.16
MDIA3,0.58,2.47%,9.06%,0.07,0.09
MILS3,0.904,6.18%,8.9%,0.12,0.17
MOTV3,0.946,4.02%,8.88%,0.1,0.15
MRVE3,1.179,3.74%,8.78%,0.07,0.11
MULT3,0.886,5.69%,8.91%,0.16,0.24
MYPK3,0.858,0.74%,8.93%,0.01,0.01
NATU3,0.916,-1.87%,8.9%,-0.05,-0.07
NEXP3,0.83,-31.79%,8.94%,-0.54,-0.82
ODPV3,0.446,6.22%,9.12%,0.19,0.29
OIBR3,0.86,-42.48%,8.93%,-0.5,-0.73
OIBR4,0.754,-38.66%,8.98%,-0.58,-0.85
PDGR3,1.227,-83.47%,8.75%,-0.73,-1.14
PDTC3,0.587,-11.66%,9.05%,-0.19,-0.3
PETR3,1.394,9.41%,8.67%,0.2,0.27
PETR4,1.391,10.69%,8.68%,0.23,0.31
PFRM3,0.593,-1.36%,9.05%,-0.04,-0.06
PINE4,0.564,9.73%,9.07%,0.21,0.34
PMAM3,0.84,-21.98%,8.94%,-0.38,-0.62
POMO3,0.69,14.61%,9.01%,0.37,0.52
POMO4,0.832,13.9%,8.94%,0.33,0.5
POSI3,0.958,-2.26%,8.88%,-0.05,-0.08
PRIO3,1.068,18.38%,8.83%,0.26,0.39
PSSA3,0.541,10.27%,9.08%,0.35,0.54
PTBL3,0.802,11.42%,8.95%,0.23,0.35
RADL3,0.541,13.73%,9.08%,0.42,0.65
RAPT4,1.03,0.79%,8.85%,0.01,0.01
RCSL4,0.578,36.1%,9.06%,0.26,0.41
RDNI3,0.493,-11.01%,9.1%,-0.25,-0.37
RENT3,1.041,14.54%,8.84%,0.36,0.54
RIAA3,0.96,7.04%,8.88%,0.14,0.2
ROMI3,0.641,7.81%,9.03%,0.16,0.24
RPMG3,0.57,16.56%,9.06%,0.21,0.37
RSID3,1.164,-20.8%,8.78%,-0.31,-0.53
SANB11,0.993,5.68%,8.86%,0.16,0.24
